Standard,Name,Formula,for lookup,Mass, ,Transforms,,,,,,,,,,,,,,,,,,,,,,,,,,
StdMix1_1, Spermidine, C7H19N3,C7H19N3,145.1578976, ,M+H2C13,1,0.055555556,M+ACN+2H,1,0.055555556,M+2H,2,0.111111111,M+H,9,0.5,M+HC13,4,0.222222222,M+Na,1,0.055555556,,,,,,,,,
StdMix1_10, Glycerol, C3H8O3,C3H8O3,92.04734412, ,M+ACN+H,1,0.111111111,M+H,8,0.888888889,,,,,,,,,,,,,,,,,,,,,
StdMix1_100, Cholesterol, C27H46O,C27H46O,386.3548661, ,,,,,,,,,,,,,,,,,,,,,,,,,,,
StdMix1_101, 1-Butanol, C4H10O,C4H10O,74.07316494, ,M+ACN+H,1,0.125,M+HC13,2,0.25,M+2ACN+H,1,0.125,M+H,4,0.5,,,,,,,,,,,,,,,
StdMix1_102, Oxaloacetate, C4H4O5,C4H4O5,132.0058732, ,M+H,7,1,,,,,,,,,,,,,,,,,,,,,,,,
StdMix1_103, Imidazole, C3H4N2,C3H4N2,68.03744814, ,,,,,,,,,,,,,,,,,,,,,,,,,,,
StdMix1_104, glyceraldehyde, C3H6O3,C3H6O3,90.03169406, ,M+H,1,1,,,,,,,,,,,,,,,,,,,,,,,,
StdMix1_11, Inosine, C10H12N4O5,C10H12N4O5,268.0807695, ,M+KC13,1,0.035714286,M+K,4,0.142857143,M+H,7,0.25,M+NaC13,4,0.142857143,M+HC13,5,0.178571429,M+ACN+Na,3,0.107142857,M+Na,4,0.142857143,,,,,,
StdMix1_12, L-Phenylalanine, C9H11NO2,C9H11NO2,165.0789786, ,M+ACN+H,4,0.1,M+HC13,6,0.15,M+H2C13,3,0.075,M+2Na-H,1,0.025,M+H,26,0.65,,,,,,,,,,,,
StdMix1_13, L-Leucine, C6H13NO2,C6H13NO2,131.0946287, ,M+ACN+H,4,0.142857143,M+HC13,4,0.142857143,M+H2C13,1,0.035714286,M+H,19,0.678571429,,,,,,,,,,,,,,,
StdMix1_14, L-Tryptophan, C11H12N2O2,C11H12N2O2,204.0898776, ,M+ACN+H,2,0.071428571,M+HC13,5,0.178571429,M+H2C13,4,0.142857143,M+H,17,0.607142857,,,,,,,,,,,,,,,
StdMix1_15, 2-Phenylglycine, C8H9NO2,C8H9NO2,151.0633285, ,M+ACN+H,4,0.102564103,M+HC13,8,0.205128205,M+H,27,0.692307692,,,,,,,,,,,,,,,,,,
StdMix1_16, Selenomethionine, C5H11NO2Se,C5H11NO2Se,196.9955004, ,M+ACN+H,1,0.034482759,M+HC13,5,0.172413793,M+H,23,0.793103448,,,,,,,,,,,,,,,,,,
StdMix1_17, L-Methionine, C5H11NO2S,C5H11NO2S,149.0510493, ,M+ACN+H,1,0.025641026,M+HC13,10,0.256410256,M+IsoProp+H,1,0.025641026,M+H,27,0.692307692,,,,,,,,,,,,,,,
StdMix1_18, Guanine, C5H5N5O,C5H5N5O,151.0494098, ,M+2Na-H,1,0.024390244,M+K,2,0.048780488,M+H,22,0.536585366,M+ACN+H,1,0.024390244,M+NaC13,3,0.073170732,M+HC13,5,0.12195122,M+ACN+Na,2,0.048780488,M+Na,5,0.12195122,,,
StdMix1_19, Pyridoxine, C8H11NO3,C8H11NO3,169.0738932, ,M+HC13,8,0.25,M+H,24,0.75,,,,,,,,,,,,,,,,,,,,,
StdMix1_2, Imidazole-4-acetate, C5H6N2O2,C5H6N2O2,126.0429274, ,M+ACN+H,5,0.084745763,M+HC13,12,0.203389831,M+H2C13,2,0.033898305,M+Na,4,0.06779661,M+H,36,0.610169492,,,,,,,,,,,,
StdMix1_20, L-Valine, C5H11NO2,C5H11NO2,117.0789786, ,M+ACN+H,3,0.107142857,M+HC13,5,0.178571429,M+H2C13,1,0.035714286,M+Na,1,0.035714286,M+H,18,0.642857143,,,,,,,,,,,,
StdMix1_21, Adenine, C5H5N5,C5H5N5,135.0544952, ,M+ACN+H,2,0.047619048,M+HC13,7,0.166666667,M+H2C13,1,0.023809524,M+Na,1,0.023809524,M+H,31,0.738095238,,,,,,,,,,,,
StdMix1_22, L-Proline, C5H9NO2,C5H9NO2,115.0633285, ,M+H2C13,2,0.054054054,M+2Na-H,2,0.054054054,M+H,21,0.567567568,M+ACN+H,4,0.108108108,M+NaC13,1,0.027027027,M+HC13,7,0.189189189,,,,,,,,,
StdMix1_23, Serotonin, C10H12N2O,C10H12N2O,176.094963, ,M+HC13,4,0.117647059,M+H2C13,2,0.058823529,M+Na,2,0.058823529,M+H,26,0.764705882,,,,,,,,,,,,,,,
StdMix1_24, Taurine, C2H7NO3S,C2H7NO3S,125.0146638, ,M+2Na-H,1,0.0625,M+K,1,0.0625,M+H,6,0.375,M+ACN+H,4,0.25,M+HC13,2,0.125,M+Na,2,0.125,,,,,,,,,
StdMix1_25, trans-4-Hydroxy-L-proline, C5H9NO3,C5H9NO3,131.0582432, ,M+ACN+H,1,0.025641026,M+HC13,6,0.153846154,M+Na,1,0.025641026,M+K,1,0.025641026,M+H,30,0.769230769,,,,,,,,,,,,
StdMix1_26, Creatinine, C4H7N3O,C4H7N3O,113.0589119, ,M+H2C13,3,0.085714286,M+K,1,0.028571429,M+H,23,0.657142857,M+ACN+H,3,0.085714286,M+HC13,4,0.114285714,M+Na,1,0.028571429,,,,,,,,,
StdMix1_27, N2-Acetyl-L-lysine, C8H16N2O3,C8H16N2O3,188.1160924, ,M+H2C13,2,0.076923077,M+2Na-H,1,0.038461538,M+H,13,0.5,M+NaC13,1,0.038461538,M+HC13,5,0.192307692,M+Na,4,0.153846154,,,,,,,,,
StdMix1_28, L-Threonine, C4H9NO3,C4H9NO3,119.0582432, ,M+ACN+H,3,0.083333333,M+HC13,6,0.166666667,M+H2C13,1,0.027777778,M+2Na-H,1,0.027777778,M+H,25,0.694444444,,,,,,,,,,,,
StdMix1_29, L-Aspartate, C4H7NO4,C4H7NO4,133.0375077, ,M+ACN+H,3,0.076923077,M+HC13,5,0.128205128,M+ACN+2H,4,0.102564103,M+2Na-H,2,0.051282051,M+H,25,0.641025641,,,,,,,,,,,,
StdMix1_3, N-Acetyl-D-glucosamine, C8H15NO6,C8H15NO6,221.0899372, ,M+K,6,0.107142857,M+H,29,0.517857143,M+NaC13,4,0.071428571,M+HC13,10,0.178571429,M+ACN+Na,4,0.071428571,M+Na,3,0.053571429,,,,,,,,,
StdMix1_30, L-Glutamine, C5H10N2O3,C5H10N2O3,146.0691422, ,M+2Na-H,2,0.076923077,M+K,2,0.076923077,M+H,13,0.5,M+NaC13,1,0.038461538,M+HC13,5,0.192307692,M+Na,3,0.115384615,,,,,,,,,
StdMix1_31, beta-Alanine, C3H7NO2,C3H7NO2,89.04767847, ,M+ACN+H,1,0.025,M+HC13,5,0.125,M+H2C13,1,0.025,M+2Na-H,1,0.025,M+H,32,0.8,,,,,,,,,,,,
